Competition,Date,place,Opponent,Opponent Strength,Duration,Transportation
La Liga,14/08/2021,away,CD Alavés,4.5,2,Plane
La Liga,22/08/2021,away,Levante UD,5.5,2,Plane
La Liga,28/08/2021,away,Real Betis,8,2,Plane
La Liga,12/09/2021,home,Celta Vigo,7.5,2,Plane
Champions League,15/09/2021,away,Inter,9.2,2,Plane
La Liga,19/09/2021,away,Valencia CF,8,3,Bus
La Liga,22/09/2021,home,RCD Mallorca,4.9,0,Bus
La Liga,25/09/2021,home,Villarreal CF,8.4,0,Bus
Champions League,28/09/2021,home,FC Sheriff,7.2,0,Bus
La Liga,03/10/2021,away,Espanyol Barcelona,5.7,1, Plane
Champions League,19/10/2021,away,Shakhtar Donetsk,8,5,Plane
La Liga,24/10/2021,away,FC Barcelona,9.4,2,Plane
La Liga,27/10/2021,home,CA Osasuna,6.7,4,Bus
La Liga,30/10/2021,away,Elche CF,5.6,5,Bus
Champions League,03/11/2021,home,Shakhtar Donetsk,8,0,Bus
La Liga,06/11/2021,home,Rayo Vallecano,5.6,0,Bus
La Liga,21/11/2021,away,Granada CF,7,4,Bus
Champions League,24/11/2021,away,FC Sheriff,7.2,5,Plane
La Liga,28/11/2021,home,Sevilla FC,8.8,2,Plane
La Liga,01/12/2021,home,Athletic Bilbao,8.4,4,Bus
La Liga,04/12/2021,away,Real Sociedad,8.3,2,Plane
Champions League,07/12/2023,home,Inter,9.2,0,Bus
La Liga,12/12/2021,home,Atlético Madrid,9.2,0,Plane
La Liga,19/12/2021,home,Cádiz CF,6.3,0,Bus
La Liga,22/12/2021,away,Athletic Bilbao,8.4,4,Bus
La Liga,02/01/2022,away,Getafe CF,6.7,1,Plane
Copa Del Rey,05/01/2022,away,CD Alcoyano,6.6,4,Bus
La Liga,08/01/2022,home,Valencia CF,8,0,Bus
Supercopa,12/01/2022,away,FC Barcelona,9.4,8,Plane
Supercopa,16/01/2022,away,Athletic Bilbao,8.4,8,Plane
Copa Del Rey,20/01/2022,away,Elche CF,5.6,5,Bus
La Liga,23/01/2022,home,Elche CF,5.6,0,Bus
Copa Del Rey,03/02/2022,away,Athletic Bilbao,8.4,5,Bus
La Liga,06/02/2022,home,Granada CF,7,0,Bus
La Liga,12/02/2022,away,Villarreal CF,8.4,5,Bus
Champions League,15/02/2022,away,Paris Saint-Germain,9.6,3,Plane
La Liga,19/02/2022,home,CD Alavés,4.5,0,Bus
La Liga,26/02/2022,away,Rayo Vallecano,5.6,0,Bus
La Liga,05/03/2022,home,Real Sociedad,8.3,0,Bus
Champions League,09/03/2022,home,Paris Saint-Germain,9.6,0,Bus
La Liga,14/03/2022,away,RCD Mallorca,4.9,2,Plane
La Liga,20/03/2022,home,FC Barcelona,9.4,0,Bus
La Liga,02/04/2022,away,Celta Vigo,7.5,2,Plane
Champions League,06/04/2022,away,Chelsea FC,9.3,3,Plane
La Liga,09/04/2022,home,Getafe CF,6.7,0,Bus
Champions League,12/04/2022,home,Chelsea FC,9.3,0,Bus
La Liga,17/04/2022,away,Sevilla FC,8.8,2,Plane
La Liga,20/04/2022,away,CA Osasuna,6.7,4,Bus
Champions League,26/04/2022,away,Manchester City,9.5,3,Plane
La Liga,30/04/2022,home,Espanyol Barcelona,5.7,0,Bus
Champions League,04/04/2022,home,Manchester City,9.5,0,Bus
La Liga,08/05/2022,away,Atlético Madrid,9.2,0,Plane
La Liga,12/05/2022,home,Levante UD,5.5,0,Bus
La Liga,15/05/2022,away,Cádiz CF,6.3,0,Bus
La Liga,20/05/2022,home,Real Betis,8,0,Bus
Champions League,28/05/2022,away,Liverpool ,9.4,3,Plane
